113011-PI2101                   	适用于人工智能计算的可扩展、异构、低能耗、高计算性能、可编程的芯片体系架构及设计方法
113011-AA2002                   	★基于编码超表面的毫米波天线设计研究
111008-PI2104                   	★面向区块链的隐私与监管技术研究
113011-AB1901                   	基于混合集成工艺的高速光芯片阵列驱动控制技术研究
113011-AA2004                   	超高速高精度模数转换器的关键技术研究
113010-PI2001                   	PI科研启动经费
100000-932001                   	事业收入总户
100000-540001                   	人员经费
111006-AB1901                   	基于忆阻器的存算一体全系统模拟技术
113010-PI2101                   	PI科研启动经费（指尖识别点阵图形的触觉特性研究）
113010-PI2106                   	深度感知偏振内窥成像技术研究
111006-AB1902                   	基于深度脉冲神经网络的智能语音处理研究
113011-PI2102                   	基于互连可靠性与失效分析的 异质异构集成封装设计研究
111006-AB2001                   	激发式类脑芯片与传统芯片异构集成关键技术研究
100000-954888                   	纵向科研事业收入过渡
113010-PI2105                   	基于虚拟传感技术的智能噪声控制系统
113009-AB1901                   	集成芯片微纳尺度力学效应及检测
113010-PI2103                   	多参量传感融合存算一体化平台
102000-542002                   	人力资源部—博士后经费
100000-540001/001/002           	人员经费—全职人员企业编
115012-TD2101/001               	长三角产教融合智慧云平台-面向多人远程交互的VR关键技术
101000-KE2101                   	平台型企业赋能网络市场治理的路径、问题与对策研究
113009-AB1902                   	基于原子吸收的高灵敏度原子自旋进动信号检测方法与噪声抑制研究
000000-540000                   	经常性经费预算总户
100000-540001/001               	人员经费—全职人员
100000-540001/002               	人员经费—双聘人员
115011-AH2001                   	人工智能社会实验研究中心专项经费
100000-540001/003               	人员经费—特聘人员
113012-AH2001                   	光纤分布式水听系统算法研究
100000-540001/004               	人员经费—其他人员
100000-420003                   	费用归集项目（2019年度）
100000-660001                   	企业编工资
100000-660002                   	事业编工资
100000-660003                   	双聘人员工资
100000-660004                   	特聘人员工资
100000-660005                   	非全职兼聘
115002-UA2018SJ                 	仿人机器人高性能腿足的结构优化与运动控制研究
115004-UA2021SJ                 	基于深度几何先验学习和领域自适应的多期肝脏CT图像精准分割研究
112003-UA2003SJ                 	IIoT轻量级安全认证与访问控制协议关键技术研究
115002-UA2019SJ                 	地外环境下基于视/振信息的地形语义感知技术研究
113010-UA2024SJ                 	基于光场调控的大通量3D暗斑技术研究
113010-UA2025SJ                 	基于离子/电子耦合体系的仿真触觉传感器设计与应用研究
115002-UA2017SJ                 	基于充电速率的介电高弹聚合物力耦合失稳调控
115004-UA2020SJ                 	快速超低剂量PET图像重建深度学习算法
111006-UA2001QJ                 	基于忆阻器的存算一体芯片设计
113010-UA2023SJ                 	面向纳米精度激光直写技术的快速高精度光束指向稳定系统研究
115006-UA2003SJ                 	基于深度强化学习和Barra多因子特征提取的金融时序算法研究
113009-UA2011SJ                 	基于双频操控技术的NV色心磁场测量温度波动补偿方法
111006-UA2002QJ                 	支持大规模神经元集成的片上网络架构研究
111008-UA2003QJ                 	智能边缘设备的模型压缩技术研究
112003-UA2005QJ                 	全维可定义多模态网络寻址路由关键技术研究
112004-UA2007QJ                 	基于MEC的C-V2X多维度资源适配技术研究
112004-UA2008QJ                 	智能超表面辅助通信系统谱效/能效分析与联和优化研究
112004-UA2009QJ                 	车联网通信关键技术及标准化工作研究
113002-ZX1901                   	城市大脑科研与公共服务平台
100000-542002                   	人工智能大赛（支持）
100000-540001/001/001           	人员经费—全职人员事业编
113010-BA2101                   	基于荧光辐射时序特征的非线性频移超分辨显微成像
113010-BA2102                   	基于原位可控电致照明的高集成自动化频移超分辨显微芯片研究
113010-GD2101                   	基于微纳光纤的湿度和应力双参量触觉传感器研究
113011-BA2101                   	面向对潜通信毫米波雷达在波动水面上的微幅波提取算法研究
102000-212008/008               	标准化研究中心
113011-GD2101                   	毫米波雷达应用于水气界面通信的回波干扰研究
102000-212008/009               	网络健康大数据研究中心
100000-420002                   	固定资产归集项目（2019年度）
112003-421001                   	管理费归集项目（工业互联网研究中心）
100000-900201                   	履约保证金
107000-542001                   	条件保障部-实验室园区一期工程设计费（20180929-第19次主任办公会）
113010-UA2012                   	面向皮肤分泌VOCs的柔性传感器阵列及其智能监测系统研究
113010-AB2102                   	基于多模态仿生嗅觉受体的无源电子鼻研究
115002-BC1901/002               	大范围场景语义建模和透彻理解
113010-UA2011                   	湿气驱动的可持续自供电触觉传感器研究
116000-420001                   	激励费归集项目（智能网络研究院）
115004-UA2001PJ                 	基于深度几何先验学习和领域自适应的多期肝脏CT图像精准分割研究（ZJ2020029）
100000-900103                   	无经费暂付
105000-540402                   	财务资产部—日常运行经费
111008-AB1901                   	大规模移动互联网服务系统中的复杂场景预测技术研究
111007-AB2101                   	面向高并发图分析服务的运行时系统关键技术研究
100000-215004                   	鲍虎军业务费
113009-AA2001                   	★基于脉冲光激发效应的光动量敏感单元精确起支技术研究
111007-AB1901                   	基于模型内嵌式域适应与增量更新的行人重识别
111007-AB1902                   	校园开放场景中人体目标跨镜追踪研究
111007-AB1903                   	基于多任务联合学习的人体姿态估计及解析研究
113011-TE1901                   	人工智能共性标准研究与应用试点
112003-AB1901                   	基于异构标识的多样化寻址路由模型与方法
101003-900201                   	综合管理部-财务-保证金
113009-AA2002                   	★原子磁场计单光束光调制技术研究
100000-215005                   	赵新龙业务费
111007-AB1905                   	基于联合学习的人体姿态估计与行人解析
111007-AB1906                   	姿态估计和人体解析的联合学习方法
113009-AA2003                   	★基于偏置磁场调制技术的低频磁场噪声抑制方式及实验研究
100000-215006                   	夏春胜业务费
102000-542002/001               	博士后日常经费
100000-215008                   	陈伟业务费
100000-215002                   	袁继新业务费
102000-542002/002               	博士后建站经费
100000-215003                   	郑宇化业务费
115002-PI2003                   	PI科研启动经费
115004-PI2101                   	PI科研启动经费（基于图模型的多模态脑影像结构化研究）
115004-PI2102                   	乳腺癌超声断层扫描智能成像系统的开发
100000-420030                   	增值税归集项目（2021年度非财拨基本支出）
112003-TD1901                   	现场数据采集4G无线发送装置
113009-UA2001PJ                 	高精度激光调制系统研究（ZJ2020132）
115006-UA2001PJ                 	基于深度强化学习和Barra多因子特征提取的金融时序算法研究（ZJ2020028）
113010-UA2002SJ                 	多光束漂移实时探测与校正技术的研究
113010-UA2006SJ                 	多参量高阶解耦柔性触觉传感器件的研究
113011-UA2002SJ                 	基于降阶算法的超表面快速三维数值分析与设计方法
113010-UA2003SJ                 	基于CMOS芯片的高并行嗅觉传感阵列研究
111007-UA2001                   	面向自动驾驶的目标检测方法与应用研究
113011-UA2003SJ                 	毫米波雷达应用于水气界面通信的相关研究
115002-UA2001SJ                 	基于分布式倾转旋翼无人机的气动优化及动力布局研究
115002-UA2002SJ                 	火星环境中的地形语义理解算法研究
115002-UA2004SJ                 	深度学习算法在云-边-端混合计算环境下的协同推理方法研究
113009-UA2002                   	弱测量辅助下的基于宇称-时间对称及原子磁力计的量子传感研究
113010-AA2008                   	★基于III-V/Si混合集成的光纤布拉格光栅解调技术研究
100000-420018                   	增值税归集项目（2020年度非财拨项目支出纵向）
100000-420016                   	增值税归集项目（财政拨款基本支出）
111002-AC1903                   	深度学习泛化与表示理论
100000-420019                   	增值税归集项目（2020年度非财拨项目支出横向）
100000-420017                   	增值税归集项目（2020年度非财拨基本支出）
115002-UA2003                   	地外环境下基于视/振信息的地形语义感知技术研究（2020M671825）
115002-UA2002                   	仿人机器人高性能腿足的结构优化与运动控制研究（2020M671821）
115004-UA2002                   	快速超低剂量PET图像重建深度学习算法（2020M671827）
113010-UA2003                   	基于离子/电子耦合体系的仿真触觉传感器设计与应用研究（2020M671824）
115002-AL2102                   	地外探测自主移动操作机器人
112003-UA2001                   	IIoT轻量级安全认证与访问控制协议关键技术研究（2020TQ0291）
115011-AA2001                   	★面向城市治理的区块链研究：响应、冲突与实现路径
113010-UA2001                   	面向纳米精度激光直写技术的快速高精度光束指向稳定系统研究（2020M671822）
113010-UA2006                   	用于爆炸物检测的超灵敏仿生嗅觉传感技术研究（2020TQ295）
115004-UA2004                   	跨中心磁共振扩散成像的在线智能评估和融合分析方法研究（2020TQ0294）
115002-UA2001                   	基于充电速率的介电高弹聚合物力耦合失稳调控（2020M671820）
115004-GD2102                   	基于卷积生存网络的血液透析并发症长期风险预测方法研究
113012-AA2001                   	散射增强型大有效面积光纤结构设计研究
111002-UA2001                   	面向情绪分类识别的复合情绪认知神经指标研究（2020M671819）
113011-UA2001                   	基于复数卷积神经网络的77GHz成像雷达干扰抑制算法研究
115002-UA2005                   	用于人机共融的超冗余灵巧臂的优化设计与运动控制研究
115002-UA2006                   	面向高鲁棒欠驱动步行的仿人机器人稳定性条件与控制方法研究
112004-UA2003SJ                 	面向电离层应用的低频天线理论研究
113010-UA2008                   	基于原位可控照明的片上高集成移频超分辨显微成像方法研究
113010-UA2007                   	面向智能机器人的柔性三维力和温度传感器研究
112003-UA2002                   	工业物联网轻量级安全接入关键技术研究
113009-UA2001                   	基于原子自旋SERF效应的超高灵敏惯性测量（2020TQ0296）
111002-UA2002                   	面向城市时空大数据的多视图时空模型与应用研究
113009-UA2003                   	面向微米-亚毫米尺度磁表征的室温高灵敏度光纤金刚石磁强计研究
113009-UA2001SJ                 	基于偏置磁场调制技术的低频磁场噪声抑制方法及实验研究
112003-UA2001SJ                 	基于边缘计算的低延时卫星通信技术研究
115002-UA2003SJ                 	仿人机器人高性能腿足的结构优化与运动控制研究
115002-UA2006SJ                 	载人多旋翼飞行器气动性能全局代理模型及其空间复杂特性研究
113009-UA2007QJ                 	SERF超高灵敏极弱磁测量中的原子极化率测量与控制方法研究
113009-UA2008QJ                 	高精度激光调制系统研究
113010-UA2013QJ                 	用于内窥镜在体位姿感知的光纤光栅传感器研究
113010-UA2014QJ                 	用于室内三维场景重建的深度相机解决方案研究
113010-UA2015QJ                 	聚合物涂层改性微纳光纤pH传感器研究
113010-UA2016QJ                 	高吸收截面双光子聚合引发剂的结构设计、合成及其性质研究
113010-UA2017QJ                 	基于电致OLED照明移频超分辨芯片研究
113011-UA2005QJ                 	“人-机-物”融合视角下的流动人口治理模式创新研究
115002-UA2013QJ                 	深海软体机器人建模、设计及实验研究
115002-UA2014QJ                 	分布式倾转多旋翼飞行器的倾转控制策略研究
115004-UA2007QJ                 	基于U-NET网络的核医学心脏图像分割方法的研究与应用
115004-UA2009QJ                 	基于多维时序表征识别的血液透析并发症长期风险预测方法研究
115004-UA2010QJ                 	基于异构临床数据的重症疾病实时预后预测方法
115004-UA2011QJ                 	PET/CT肺部肿瘤检测中柔性配准技术研究与应用
115004-UA2012QJ                 	快速超低剂量PET图像重建深度学习算法
115006-UA2001QJ                 	基于深度强化学习和Barra多因子特征提取的金融时序算法研究
112003-BA1901                   	★基于P4技术的工业互联网实时可靠传输理论与关键技术研究
111002-AA2001**                 	面向智慧能源系统的联邦经济调度技术（已验收）
111006-UA2001SJ                 	基于忆阻器的存算一体芯片设计
111006-UA2002SJ                 	支持大规模神经元集成的片上网络架构研究
115006-540402                   	金融科技研究中心—日常运行经费
115004-AA2002                   	★基于组学大数据和机器学习的临床精准用药研究
111006-AA2002                   	★多时空尺度类脑强化学习算法研究
111006-AB2003                   	图计算高效IO的近数据处理研究
111006-AB2004                   	基于类脑芯片智能计算架构研究
